emissions,rows,age,month,veh,size,fuel,pollutant,type_emi,subtype_emi,baseyear
1102.97259317132,1,1,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
535.156043750697,1,2,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
355.411806435699,1,3,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
265.0464773023,1,4,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
649.969739963487,1,5,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
1022.12906428186,1,6,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
1354.31330541706,1,7,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
1116.90405310006,1,8,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
983.62848449028,1,9,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
662.394353039642,1,10,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
875.056097679499,1,11,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
692.843756526799,1,12,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
747.109393135863,1,13,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
567.382845545634,1,14,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
426.974141169111,1,15,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
318.592686301955,1,16,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
235.855551994553,1,17,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
173.335778606141,1,18,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
126.533312420046,1,19,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
91.7964160248377,1,20,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
66.2168225917267,1,21,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
47.5160390801161,1,22,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
33.9345179860992,1,23,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
24.1306647244234,1,24,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
17.0930730813329,1,25,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
12.0669297981571,1,26,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
8.49400612102945,1,27,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
5.9648256321909,1,28,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
4.18124765068624,1,29,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
2.92765857545971,1,30,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
2.04908985598154,1,31,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
1.43479158579817,1,32,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
1.00602805585743,1,33,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
0.707092583453995,1,34,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
0.498746249152058,1,35,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
0.353461822001792,1,36,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
0.251999244473344,1,37,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
0.180954983955251,1,38,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
0.131018221400465,1,39,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
0.0957365248685963,1,40,1,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
1046.55811588937,1,1,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
507.784059478933,1,2,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
337.233320946541,1,3,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
251.489967770689,1,4,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
616.725302743431,1,5,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
969.849545068826,1,6,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
1285.04333654012,1,7,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
1059.77701411483,1,8,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
933.318180194678,1,9,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
628.514425820594,1,10,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
830.299017903804,1,11,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
657.40641329224,1,12,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
708.896489073568,1,13,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
538.362535477756,1,14,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
405.135409059088,1,15,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
302.297412987955,1,16,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
223.792090252895,1,17,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
164.470057549365,1,18,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
120.061428419369,1,19,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
87.1012433084351,1,20,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
62.8299864573462,1,21,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
45.0857044337164,1,22,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
32.1988464872305,1,23,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
22.8964374686217,1,24,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
16.218802234536,1,25,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
11.449734465131,1,26,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
8.05955750615517,1,27,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
5.65973870419162,1,28,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
3.96738657919612,1,29,2,PC_MINI_G,<1400cc,G,NMHC,Evaporative,Running Losses,2019
